"5936334","3832/23","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","168.905 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5936384","3832/24","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","194.905 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937044","3832/03","РК","Рабочий","Сарыаркинский, Проспект Женис, 49","71.4093066","51.1799048","10","48.859 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937144","3832/02","РК","Рабочий","Сарыаркинский, Проспект Женис, 49","71.4093066","51.1799048","10","54.859 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937194","3832/01","РК","Рабочий","Сарыаркинский, Проспект Женис, 49","71.4093066","51.1799048","10","60.859 м","Внутреннее Этаж6","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937294","3832/00","РК","Рабочий","Сарыаркинский, Проспект Женис, 49","71.4093066","51.1799048","10","65.859 м","Внутреннее Этаж8","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937432","3832/13","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/1","71.4094841","51.1791725","10","144.243 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937482","3832/08","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/1","71.4094841","51.1791725","10","129.590 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937532","3832/07","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/1","71.4094841","51.1791725","10","132.590 м","Внутреннее Этаж3","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937582","3832/12","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/1","71.4094841","51.1791725","10","150.243 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937632","3832/06","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/1","71.4094841","51.1791725","10","135.590 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937682","3832/20","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/1","71.4094841","51.1791725","10","118.590 м","Внутреннее Этаж5","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937733","3832/11","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/1","71.4094841","51.1791725","10","156.243 м","Внутреннее Этаж6","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5937783","3832/05","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/1","71.4094841","51.1791725","10","141.590 м","Внутреннее Этаж6","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
