source_file,id,name,locality,region,location,area,district,street,house,network_type,building_type,purpose,residential_complex,res_completed,houses_count,apartments_count,floors_count,porch_count,cluster_id
cluster_Астана-ШР-9.xml,41d71a82-46cd-a69d-808d-a478811f64b6,Хозяйственный корпус,Астана,Астана город республиканского значения,POINT (71.343204 51.202481),"POLYGON((71.343175 51.2025,71.343165 51.202473,71.343234 51.202463,71.343244 51.202489,71.343175 51.2025))",,,,ГТС,INDUSTRY,Хозяйственный корпус,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,80d9ce88-9938-2b5f-63c2-485f206ff70d,"улица Куланотпес, 11",Астана,Астана город республиканского значения,POINT (71.325901 51.199005),"POLYGON((71.325941 51.198947,71.325993 51.19903,71.32586 51.199063,71.325808 51.19898,71.325941 51.198947))",Коктал-2 м-н,улица Куланотпес,11,ГТС,IZHS,Частный дом,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,d6192edf-f97d-b5c1-06fd-6cef926af003,"улица Улытау, 66/1",Астана,Астана город республиканского значения,POINT (71.327664 51.198484),"POLYGON((71.327571 51.198459,71.327704 51.198425,71.327758 51.198508,71.327625 51.198542,71.327571 51.198459))",Коктал-2 м-н,улица Улытау,66/1,ГТС,IZHS,Частный дом,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,1de2a92b-a371-02b8-3825-fe6d61779f5d,"улица Кайнар, 4а",Астана,Астана город республиканского значения,POINT (71.333919 51.193908),"POLYGON((71.333873 51.193964,71.333829 51.193879,71.333965 51.193851,71.334009 51.193936,71.333873 51.193964))",Коктал-2 м-н,улица Кайнар,4а,ГТС,IZHS,Частный дом,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,a7c8e5b9-b75a-cc04-1984-813d1814dbdb,"улица Кендала, 1/1",Астана,Астана город республиканского значения,POINT (71.346164 51.193486),"POLYGON((71.346122 51.193544,71.346072 51.19346,71.346206 51.193428,71.346256 51.193513,71.346122 51.193544))",,улица Кендала,1/1,ГТС,IZHS,Частный дом,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,43209002-b383-57cf-9070-243a24448e19,Хозяйственный корпус,Астана,Астана город республиканского значения,POINT (71.358372 51.20256),"POLYGON((71.358327 51.202425,71.359669 51.203099,71.359606 51.203148,71.360143 51.203417,71.360036 51.203501,71.35925 51.203107,71.358158 51.202559,71.358327 51.202425))",,,,ГТС,INDUSTRY,Хозяйственный корпус,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,97313fba-0a47-9ee9-c386-ec89acc94add,Сооружение,Астана,Астана город республиканского значения,POINT (71.335884 51.198057),"POLYGON((71.335895 51.198075,71.335856 51.198063,71.335874 51.198039,71.335913 51.198051,71.335895 51.198075))",Коктал-2 м-н,,,ГТС,OTHER,Сооружение,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,7613abaf-8c2b-b514-5b31-0ef5dd1e6e60,"улица Аркалык, 13/1",Астана,Астана город республиканского значения,POINT (71.327786 51.195264),"POLYGON((71.327828 51.195206,71.327878 51.19529,71.327744 51.195322,71.327694 51.195238,71.327828 51.195206))",Коктал-2 м-н,улица Аркалык,13/1,ГТС,IZHS,Частный дом,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,5561e3de-a0c3-01ff-ebdc-f3bab3b8e0ae,"улица Кендала, 9а",Астана,Астана город республиканского значения,POINT (71.345425 51.195179),"POLYGON((71.345492 51.195026,71.345512 51.195117,71.345583 51.19511,71.345571 51.195057,71.345656 51.195049,71.345668 51.195102,71.345626 51.195106,71.34565 51.195213,71.345537 51.195223,71.345578 51.1954,71.345365 51.195419,71.34533 51.195268,71.345288 51.195272,71.345237 51.19505,71.345492 51.195026))",,улица Кендала,9а,ГТС,INDUSTRY,Хозяйственный корпус,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,3a50cefd-114d-98b5-4d41-5276082459e5,"улица Улытау, 51",Астана,Астана город республиканского значения,POINT (71.329516 51.198527),"POLYGON((71.329557 51.198469,71.329608 51.198553,71.329475 51.198585,71.329423 51.198502,71.329557 51.198469))",Коктал-2 м-н,улица Улытау,51,ГТС,IZHS,Частный дом,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,3d1e992f-bb37-b709-8db1-9b833970b3ae,"улица Коктал, 13Б",Астана,Астана город республиканского значения,POINT (71.348982 51.199366),"POLYGON((71.348963 51.199397,71.348944 51.199344,71.349 51.199336,71.349019 51.199389,71.348963 51.199397))",,улица Коктал,13Б,ГТС,COMMERCE,Шиномонтаж,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
